search_range;description;link_page;link_pdf;name_pdf;published
[2012-01-01]-[2014-12-31];Despacho n.º 7249/2014 - Diário da República n.º 106/2014, Série II de 2014-06-03;https://diariodarepublica.pt/dr/detalhe/despacho/7249-2014-25702907;https://files.diariodarepublica.pt/2s/2014/06/106000000/1444114441.pdf;despacho_7249-2014_dr_106-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 7247/2014 - Diário da República n.º 106/2014, Série II de 2014-06-03;https://diariodarepublica.pt/dr/detalhe/despacho/7247-2014-25702905;https://files.diariodarepublica.pt/2s/2014/06/106000000/1444114441.pdf;despacho_7247-2014_dr_106-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 8099/2014 - Diário da República n.º 117/2014, Série II de 2014-06-20;https://diariodarepublica.pt/dr/detalhe/despacho/8099-2014-25700785;https://files.diariodarepublica.pt/2s/2014/06/117000000/1610516105.pdf;despacho_8099-2014_dr_117-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 8026/2014 - Diário da República n.º 116/2014, Série II de 2014-06-19;https://diariodarepublica.pt/dr/detalhe/despacho/8026-2014-25695382;https://files.diariodarepublica.pt/2s/2014/06/116000000/1598915989.pdf;despacho_8026-2014_dr_116-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 8025/2014 - Diário da República n.º 116/2014, Série II de 2014-06-19;https://diariodarepublica.pt/dr/detalhe/despacho/8025-2014-25695381;https://files.diariodarepublica.pt/2s/2014/06/116000000/1598915989.pdf;despacho_8025-2014_dr_116-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 8209/2014 - Diário da República n.º 119/2014, Série II de 2014-06-24;https://diariodarepublica.pt/dr/detalhe/despacho/8209-2014-25693882;https://files.diariodarepublica.pt/2s/2014/06/119000000/1635216353.pdf;despacho_8209-2014_dr_119-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 8208/2014 - Diário da República n.º 119/2014, Série II de 2014-06-24;https://diariodarepublica.pt/dr/detalhe/despacho/8208-2014-25693881;https://files.diariodarepublica.pt/2s/2014/06/119000000/1635216352.pdf;despacho_8208-2014_dr_119-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 8207/2014 - Diário da República n.º 119/2014, Série II de 2014-06-24;https://diariodarepublica.pt/dr/detalhe/despacho/8207-2014-25693880;https://files.diariodarepublica.pt/2s/2014/06/119000000/1635216352.pdf;despacho_8207-2014_dr_119-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 5188/2014 - Diário da República n.º 72/2014, Série II de 2014-04-11;https://diariodarepublica.pt/dr/detalhe/despacho/5188-2014-25692278;https://files.diariodarepublica.pt/2s/2014/04/072000000/1012210122.pdf;despacho_5188-2014_dr_72-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 5115/2014 - Diário da República n.º 71/2014, Série II de 2014-04-10;https://diariodarepublica.pt/dr/detalhe/despacho/5115-2014-25691680;https://files.diariodarepublica.pt/2s/2014/04/071000000/0995909959.pdf;despacho_5115-2014_dr_71-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 5114/2014 - Diário da República n.º 71/2014, Série II de 2014-04-10;https://diariodarepublica.pt/dr/detalhe/despacho/5114-2014-25691679;https://files.diariodarepublica.pt/2s/2014/04/071000000/0995909959.pdf;despacho_5114-2014_dr_71-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 5702/2014 - Diário da República n.º 83/2014, Série II de 2014-04-30;https://diariodarepublica.pt/dr/detalhe/despacho/5702-2014-25689657;https://files.diariodarepublica.pt/2s/2014/04/083000000/1142411424.pdf;despacho_5702-2014_dr_83-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 5701/2014 - Diário da República n.º 83/2014, Série II de 2014-04-30;https://diariodarepublica.pt/dr/detalhe/despacho/5701-2014-25689656;https://files.diariodarepublica.pt/2s/2014/04/083000000/1142411424.pdf;despacho_5701-2014_dr_83-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 6361/2014 - Diário da República n.º 93/2014, Série II de 2014-05-15;https://diariodarepublica.pt/dr/detalhe/despacho/6361-2014-25683911;https://files.diariodarepublica.pt/2s/2014/05/093000000/1270412704.pdf;despacho_6361-2014_dr_93-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 6360/2014 - Diário da República n.º 93/2014, Série II de 2014-05-15;https://diariodarepublica.pt/dr/detalhe/despacho/6360-2014-25683910;https://files.diariodarepublica.pt/2s/2014/05/093000000/1270412704.pdf;despacho_6360-2014_dr_93-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 6359/2014 - Diário da República n.º 93/2014, Série II de 2014-05-15;https://diariodarepublica.pt/dr/detalhe/despacho/6359-2014-25683909;https://files.diariodarepublica.pt/2s/2014/05/093000000/1270312703.pdf;despacho_6359-2014_dr_93-2014.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 1209/2012 - Diário da República n.º 20/2012, Série II de 2012-01-27;https://diariodarepublica.pt/dr/detalhe/despacho/1209-2012-3666886;https://files.diariodarepublica.pt/2s/2012/01/020000000/0337203372.pdf;despacho_1209-2012_dr_20-2012.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 1208/2012 - Diário da República n.º 20/2012, Série II de 2012-01-27;https://diariodarepublica.pt/dr/detalhe/despacho/1208-2012-3666885;https://files.diariodarepublica.pt/2s/2012/01/020000000/0337103371.pdf;despacho_1208-2012_dr_20-2012.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 1207/2012 - Diário da República n.º 20/2012, Série II de 2012-01-27;https://diariodarepublica.pt/dr/detalhe/despacho/1207-2012-3666884;https://files.diariodarepublica.pt/2s/2012/01/020000000/0337103371.pdf;despacho_1207-2012_dr_20-2012.pdf;2013-10-08
[2012-01-01]-[2014-12-31];Despacho n.º 1206/2012 - Diário da República n.º 20/2012, Série II de 2012-01-27;https://diariodarepublica.pt/dr/detalhe/despacho/1206-2012-3666883;https://files.diariodarepublica.pt/2s/2012/01/020000000/0337103371.pdf;despacho_1206-2012_dr_20-2012.pdf;2013-10-08
