description;link_page;link_pdf;name_pdf;date_save_pdf;pdf_ok
Despacho (extrato) n.º 8101/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8101-2023-216770739;https://files.diariodarepublica.pt/2s/2023/08/153000000/0003100031.pdf;despacho_8101-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8100/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8100-2023-216770738;https://files.diariodarepublica.pt/2s/2023/08/153000000/0003000030.pdf;despacho_8100-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8098/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8098-2023-216770736;https://files.diariodarepublica.pt/2s/2023/08/153000000/0002800028.pdf;despacho_8098-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8097/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8097-2023-216770735;https://files.diariodarepublica.pt/2s/2023/08/153000000/0002700027.pdf;despacho_8097-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8096/2023 - Diário da República n.º 153/2023, Série II de 2023-08-08;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8096-2023-216770734;https://files.diariodarepublica.pt/2s/2023/08/153000000/0002600026.pdf;despacho_8096-2023_dr_153-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8067/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8067-2023-216769600;https://files.diariodarepublica.pt/2s/2023/08/152000000/0004500045.pdf;despacho_8067-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8066/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8066-2023-216769599;https://files.diariodarepublica.pt/2s/2023/08/152000000/0004400044.pdf;despacho_8066-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8064/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8064-2023-216769597;https://files.diariodarepublica.pt/2s/2023/08/152000000/0004200042.pdf;despacho_8064-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8063/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8063-2023-216769596;https://files.diariodarepublica.pt/2s/2023/08/152000000/0004100041.pdf;despacho_8063-2023_dr_152-2023.pdf;01/11/2023 00:08;True
Despacho (extrato) n.º 8062/2023 - Diário da República n.º 152/2023, Série II de 2023-08-07;https://diariodarepublica.pt/dr/detalhe/despacho-extrato/8062-2023-216769595;https://files.diariodarepublica.pt/2s/2023/08/152000000/0004000040.pdf;despacho_8062-2023_dr_152-2023.pdf;01/11/2023 00:08;True
